"","species_common","species_scientific","leaf_nlayers","leaf_chlorophyll_a","leaf_chlorophyll_b","leaf_chlorophyll_total","leaf_carotenoid_total","leaf_anthocyanin_total","LMA","project","sample_year","sample_name","sample_id","leaf_water_content"
"1","Sycamore maple","Acer pseudoplatanus",1.31,9.53,3.01,12.54,4.33,NA,55,"ANGERS",2003,"Ace-pse_0001","ANGERS_Ace-pse_0001_2003",122
"2","Sycamore maple","Acer pseudoplatanus",1.43,9.01,3.41,12.41,3.65,NA,53,"ANGERS",2003,"Ace-pse_0002","ANGERS_Ace-pse_0002_2003",120
"3","Sycamore maple","Acer pseudoplatanus",1.55,19.36,6.45,25.81,6.5,NA,45,"ANGERS",2003,"Ace-pse_0003","ANGERS_Ace-pse_0003_2003",106
"4","Sycamore maple","Acer pseudoplatanus",1.65,18.66,5.47,24.13,6.9,NA,43,"ANGERS",2003,"Ace-pse_0004","ANGERS_Ace-pse_0004_2003",109
"5","Sycamore maple","Acer pseudoplatanus",1.44,12.16,4.96,17.12,4.91,NA,40,"ANGERS",2003,"Ace-pse_0005","ANGERS_Ace-pse_0005_2003",104
"6","Sycamore maple","Acer pseudoplatanus",1.53,9.21,4.34,13.54,3.85,NA,40,"ANGERS",2003,"Ace-pse_0006","ANGERS_Ace-pse_0006_2003",102
"7","Sycamore maple","Acer pseudoplatanus",1.49,16.24,5.57,21.8,5.2,NA,39,"ANGERS",2003,"Ace-pse_0007","ANGERS_Ace-pse_0007_2003",94
"8","Sycamore maple","Acer pseudoplatanus",1.38,15.82,5.08,20.9,5.41,NA,38,"ANGERS",2003,"Ace-pse_0008","ANGERS_Ace-pse_0008_2003",99
"9","Sycamore maple","Acer pseudoplatanus",1.47,15.97,5.9,21.87,5.68,NA,42,"ANGERS",2003,"Ace-pse_0009","ANGERS_Ace-pse_0009_2003",97
"10","Sycamore maple","Acer pseudoplatanus",1.42,15.18,4.99,20.16,5.55,NA,43,"ANGERS",2003,"Ace-pse_0010","ANGERS_Ace-pse_0010_2003",75
"11","Sycamore maple","Acer pseudoplatanus",1.48,17.12,5.52,22.64,5.12,NA,34,"ANGERS",2003,"Ace-pse_0011","ANGERS_Ace-pse_0011_2003",83
"12","Sycamore maple","Acer pseudoplatanus",1.42,15.32,4.9,20.22,4.95,NA,37,"ANGERS",2003,"Ace-pse_0012","ANGERS_Ace-pse_0012_2003",87
"13","Sycamore maple","Acer pseudoplatanus",1.53,15.74,5.54,21.28,5.6,NA,36,"ANGERS",2003,"Ace-pse_0013","ANGERS_Ace-pse_0013_2003",120
"14","Sycamore maple","Acer pseudoplatanus",1.49,14.18,5.44,19.61,5.56,NA,35,"ANGERS",2003,"Ace-pse_0014","ANGERS_Ace-pse_0014_2003",116
"15","Sycamore maple","Acer pseudoplatanus",1.59,22.9,7.33,30.23,8.49,NA,41,"ANGERS",2003,"Ace-pse_0015","ANGERS_Ace-pse_0015_2003",121
"16","Sycamore maple","Acer pseudoplatanus",1.55,23.66,7.78,31.44,8.44,NA,39,"ANGERS",2003,"Ace-pse_0016","ANGERS_Ace-pse_0016_2003",114
"17","Sycamore maple","Acer pseudoplatanus",1.43,12.05,4.38,16.43,4.51,NA,33,"ANGERS",2003,"Ace-pse_0017","ANGERS_Ace-pse_0017_2003",113
"18","Sycamore maple","Acer pseudoplatanus",1.49,9.88,3.36,13.23,4.4,NA,36,"ANGERS",2003,"Ace-pse_0018","ANGERS_Ace-pse_0018_2003",115
"19","Sycamore maple","Acer pseudoplatanus",1.38,27.66,8.12,35.78,9.32,NA,43,"ANGERS",2003,"Ace-pse_0019","ANGERS_Ace-pse_0019_2003",109
"20","Sycamore maple","Acer pseudoplatanus",1.52,24.74,7.77,32.51,9.11,NA,42,"ANGERS",2003,"Ace-pse_0020","ANGERS_Ace-pse_0020_2003",111
"21","Sycamore maple","Acer pseudoplatanus",1.56,9.34,3.61,12.95,3.59,NA,45,"ANGERS",2003,"Ace-pse_0021","ANGERS_Ace-pse_0021_2003",103
"22","Sycamore maple","Acer pseudoplatanus",1.44,10.24,3.86,14.11,3.75,NA,46,"ANGERS",2003,"Ace-pse_0022","ANGERS_Ace-pse_0022_2003",112
"23","Sycamore maple","Acer pseudoplatanus",1.62,21.1,6.79,27.88,6.98,NA,53,"ANGERS",2003,"Ace-pse_0023","ANGERS_Ace-pse_0023_2003",118
"24","Sycamore maple","Acer pseudoplatanus",1.6,22.01,7.06,29.07,7.93,NA,52,"ANGERS",2003,"Ace-pse_0024","ANGERS_Ace-pse_0024_2003",111
"25","Sycamore maple","Acer pseudoplatanus",1.57,10.75,3.8,14.55,4.98,NA,50,"ANGERS",2003,"Ace-pse_0025","ANGERS_Ace-pse_0025_2003",131
"26","Sycamore maple","Acer pseudoplatanus",1.28,11.59,4.91,16.5,5.29,NA,94,"ANGERS",2003,"Ace-pse_0026","ANGERS_Ace-pse_0026_2003",118
"27","Sycamore maple","Acer pseudoplatanus",1.51,18.76,7.23,26,5.97,NA,41,"ANGERS",2003,"Ace-pse_0027","ANGERS_Ace-pse_0027_2003",103
"28","Sycamore maple","Acer pseudoplatanus",1.69,17.03,6.23,23.26,5.89,NA,42,"ANGERS",2003,"Ace-pse_0028","ANGERS_Ace-pse_0028_2003",102
"29","Sycamore maple","Acer pseudoplatanus",1.48,11.36,4.56,15.92,4.69,NA,36,"ANGERS",2003,"Ace-pse_0029","ANGERS_Ace-pse_0029_2003",88
"30","Sycamore maple","Acer pseudoplatanus",1.47,10.52,4.18,14.7,4.32,NA,39,"ANGERS",2003,"Ace-pse_0030","ANGERS_Ace-pse_0030_2003",87
"31","Sycamore maple","Acer pseudoplatanus",1.6,20.69,7.21,27.9,7.63,NA,40,"ANGERS",2003,"Ace-pse_0031","ANGERS_Ace-pse_0031_2003",96
"32","Sycamore maple","Acer pseudoplatanus",1.58,22.53,8.22,30.75,8.7,NA,41,"ANGERS",2003,"Ace-pse_0032","ANGERS_Ace-pse_0032_2003",95
"33","Sycamore maple","Acer pseudoplatanus",1.69,25.16,9.34,34.5,8.09,NA,47,"ANGERS",2003,"Ace-pse_0033","ANGERS_Ace-pse_0033_2003",111
"34","Sycamore maple","Acer pseudoplatanus",1.46,7.86,2.68,10.54,3.78,NA,51,"ANGERS",2003,"Ace-pse_0034","ANGERS_Ace-pse_0034_2003",114
"35","Sycamore maple","Acer pseudoplatanus",1.56,18.05,5.44,23.49,6.75,NA,42,"ANGERS",2003,"Ace-pse_0035","ANGERS_Ace-pse_0035_2003",97
"36","Sycamore maple","Acer pseudoplatanus",1.39,24.64,7.67,32.3,7.28,NA,19,"ANGERS",2003,"Ace-pse_0036","ANGERS_Ace-pse_0036_2003",64
"37","Sycamore maple","Acer pseudoplatanus",1.41,21.84,6.58,28.42,6.42,NA,18,"ANGERS",2003,"Ace-pse_0037","ANGERS_Ace-pse_0037_2003",65
"38","Sycamore maple","Acer pseudoplatanus",1.37,24.84,8.38,33.21,7.58,NA,20,"ANGERS",2003,"Ace-pse_0038","ANGERS_Ace-pse_0038_2003",71
"39","Sycamore maple","Acer pseudoplatanus",1.25,17.8,6.33,24.13,6.08,NA,18,"ANGERS",2003,"Ace-pse_0039","ANGERS_Ace-pse_0039_2003",67
"40","Sycamore maple","Acer pseudoplatanus",1.22,17.82,6.24,24.06,5.93,NA,18,"ANGERS",2003,"Ace-pse_0040","ANGERS_Ace-pse_0040_2003",67
"41","Sycamore maple","Acer pseudoplatanus",1.54,33,11.58,44.58,10.22,NA,23,"ANGERS",2003,"Ace-pse_0041","ANGERS_Ace-pse_0041_2003",83
"42","Sycamore maple","Acer pseudoplatanus",1.49,32.67,11.79,44.46,9.94,NA,23,"ANGERS",2003,"Ace-pse_0042","ANGERS_Ace-pse_0042_2003",84
"43","Sycamore maple","Acer pseudoplatanus",1.33,22.33,8.18,30.51,8.42,NA,18,"ANGERS",2003,"Ace-pse_0043","ANGERS_Ace-pse_0043_2003",65
"44","Sycamore maple","Acer pseudoplatanus",1.29,23.1,8.54,31.63,8.19,NA,19,"ANGERS",2003,"Ace-pse_0044","ANGERS_Ace-pse_0044_2003",65
"45","Sycamore maple","Acer pseudoplatanus",1.35,22.3,8.37,30.67,7.34,NA,21,"ANGERS",2003,"Ace-pse_0045","ANGERS_Ace-pse_0045_2003",86
"46","Sycamore maple","Acer pseudoplatanus",1.36,21.89,8.79,30.68,6.97,NA,19,"ANGERS",2003,"Ace-pse_0046","ANGERS_Ace-pse_0046_2003",81
"47","Sycamore maple","Acer pseudoplatanus",1.35,31.81,11.17,42.98,10.14,NA,20,"ANGERS",2003,"Ace-pse_0047","ANGERS_Ace-pse_0047_2003",74
"48","Sycamore maple","Acer pseudoplatanus",1.34,31.36,10.54,41.9,10.4,NA,21,"ANGERS",2003,"Ace-pse_0048","ANGERS_Ace-pse_0048_2003",76
"49","Sycamore maple","Acer pseudoplatanus",1.28,26.6,9.11,35.71,8.82,NA,26,"ANGERS",2003,"Ace-pse_0049","ANGERS_Ace-pse_0049_2003",78
"50","Sycamore maple","Acer pseudoplatanus",1.38,17.1,5.86,22.96,5.32,NA,19,"ANGERS",2003,"Ace-pse_0050","ANGERS_Ace-pse_0050_2003",74
"51","Sycamore maple","Acer pseudoplatanus",1.36,15.83,4.99,20.83,5.33,NA,24,"ANGERS",2003,"Ace-pse_0051","ANGERS_Ace-pse_0051_2003",82
"52","Sycamore maple","Acer pseudoplatanus",1.42,16.68,6.37,23.05,5.71,NA,22,"ANGERS",2003,"Ace-pse_0052","ANGERS_Ace-pse_0052_2003",87
"53","Sycamore maple","Acer pseudoplatanus",1.45,21.46,5.48,26.94,7.86,NA,46,"ANGERS",2003,"Ace-pse_0053","ANGERS_Ace-pse_0053_2003",121
"54","Sycamore maple","Acer pseudoplatanus",1.46,23.33,6.9,30.23,8.01,NA,48,"ANGERS",2003,"Ace-pse_0054","ANGERS_Ace-pse_0054_2003",114
"55","Sycamore maple","Acer pseudoplatanus",1.53,36.12,9.47,45.59,12.02,NA,47,"ANGERS",2003,"Ace-pse_0055","ANGERS_Ace-pse_0055_2003",110
"56","Sycamore maple","Acer pseudoplatanus",1.5,33.67,8.86,42.53,11.12,NA,49,"ANGERS",2003,"Ace-pse_0056","ANGERS_Ace-pse_0056_2003",115
"57","Sycamore maple","Acer pseudoplatanus",1.48,18.86,5.1,23.97,7.37,NA,46,"ANGERS",2003,"Ace-pse_0057","ANGERS_Ace-pse_0057_2003",137
"58","Sycamore maple","Acer pseudoplatanus",1.59,18.67,5.23,23.89,7.47,NA,48,"ANGERS",2003,"Ace-pse_0058","ANGERS_Ace-pse_0058_2003",137
"59","Sycamore maple","Acer pseudoplatanus",1.5,43.21,11.88,55.09,14.54,NA,46,"ANGERS",2003,"Ace-pse_0059","ANGERS_Ace-pse_0059_2003",113
