"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer negundo","Box elder","Sapindaceae","broadleaf","late","late hardwood","ACNE2",NA,NA,"FFT",NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer platanoides","Norway maple","Aceraceae","broadleaf","late","late hardwood","ACPL",NA,NA,"FFT",NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alnus incana","gray alder","Betulaceae","broadleaf","early","early hardwood","ALIN2",NA,NA,"FFT",NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betula glandulosa","resin birch","Betulaceae","shrub","shrub","shrub","BEGL",NA,NA,"FFT",NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","sweet birch","Betulaceae","broadleaf","early","early hardwood","BELE",NA,NA,"FFT",NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carya alba","mockernut hickory","Cyperaceae","broadleaf","mid","mid hardwood","?CAAL27",NA,NA,"FFT",NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carex","sedge","Cyperaceae","grass","grass","grass","?CAREX",NA,NA,"FFT",NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Celtis occidentalis","common hackberry","Ulmaceae","broadleaf","mid","mid hardwood","CEOC",NA,NA,"FFT",NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cornus florida","flowering dogwood","Cornaceae","broadleaf","late","late hardwood","COFL2",NA,NA,"FFT",NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2",NA,NA,"FFT",NA,NA,NA,NA
