"","species_common","species_scientific","leaf_nlayers","leaf_chlorophyll_a","leaf_chlorophyll_b","leaf_chlorophyll_total","leaf_carotenoid_total","leaf_anthocyanin_total","LMA","leafC","leafH","leafO","leafN","project","sample_year","sample_name","sample_id","leaf_water_content","c2n_leaf","leaf_protein_percent","leaf_cellulose_percent","leaf_lignin_percent","leaf_starch_percent"
"1","Red clover","Trifolium pratense",1.7,33.11,11.56,44.67,6.34,NA,29,46.63,6.18,37.39,5.14,"LOPEX",1993,"Tri-pra_Leaf01","LOPEX_Tri-pra_Leaf01_1993",105,9.07198443579767,31.52,13.94,2.6,2.43
"2","Red clover","Trifolium pratense",1.64,33.11,11.56,44.67,6.34,NA,25,46.63,6.18,37.39,5.14,"LOPEX",1993,"Tri-pra_Leaf01","LOPEX_Tri-pra_Leaf01_1993",98,9.07198443579767,31.52,13.94,2.6,2.43
"3","Red clover","Trifolium pratense",1.6,33.11,11.56,44.67,6.34,NA,27,46.63,6.18,37.39,5.14,"LOPEX",1993,"Tri-pra_Leaf01","LOPEX_Tri-pra_Leaf01_1993",85,9.07198443579767,31.52,13.94,2.6,2.43
"4","Red clover","Trifolium pratense",2.19,33.11,11.56,44.67,6.34,NA,41,46.63,6.18,37.39,5.14,"LOPEX",1993,"Tri-pra_Leaf01","LOPEX_Tri-pra_Leaf01_1993",116,9.07198443579767,31.52,13.94,2.6,2.43
"5","Red clover","Trifolium pratense",1.89,33.11,11.56,44.67,6.34,NA,33,46.63,6.18,37.39,5.14,"LOPEX",1993,"Tri-pra_Leaf01","LOPEX_Tri-pra_Leaf01_1993",98,9.07198443579767,31.52,13.94,2.6,2.43
"6","Johnsongrass","Sorghum halepense",1.46,36.27,8.18,44.45,10.53,NA,40,47.03,6.31,39.02,3.31,"LOPEX",1993,"Sor-hal_Leaf02","LOPEX_Sor-hal_Leaf02_1993",123,14.2084592145015,23.95,27.455,3.515,0.4
"7","Johnsongrass","Sorghum halepense",1.78,36.27,8.18,44.45,10.53,NA,40,47.03,6.31,39.02,3.31,"LOPEX",1993,"Sor-hal_Leaf02","LOPEX_Sor-hal_Leaf02_1993",111,14.2084592145015,23.95,27.455,3.515,0.4
"8","Johnsongrass","Sorghum halepense",1.36,36.27,8.18,44.45,10.53,NA,36,47.03,6.31,39.02,3.31,"LOPEX",1993,"Sor-hal_Leaf02","LOPEX_Sor-hal_Leaf02_1993",124,14.2084592145015,23.95,27.455,3.515,0.4
"9","Johnsongrass","Sorghum halepense",1.41,36.27,8.18,44.45,10.53,NA,39,47.03,6.31,39.02,3.31,"LOPEX",1993,"Sor-hal_Leaf02","LOPEX_Sor-hal_Leaf02_1993",134,14.2084592145015,23.95,27.455,3.515,0.4
"10","Johnsongrass","Sorghum halepense",1.46,36.27,8.18,44.45,10.53,NA,38,47.03,6.31,39.02,3.31,"LOPEX",1993,"Sor-hal_Leaf02","LOPEX_Sor-hal_Leaf02_1993",134,14.2084592145015,23.95,27.455,3.515,0.4
"11","Wild grape","Vitis vinifera",1.51,14.54,4.08,18.62,5.65,NA,53,45.99,5.65,43.88,1.94,"LOPEX",1993,"Vit-vin_Leaf03","LOPEX_Vit-vin_Leaf03_1993",125,23.7061855670103,11.375,10.325,12.785,7.19
"12","Wild grape","Vitis vinifera",1.4,14.54,4.08,18.62,5.65,NA,45,45.99,5.65,43.88,1.94,"LOPEX",1993,"Vit-vin_Leaf03","LOPEX_Vit-vin_Leaf03_1993",122,23.7061855670103,11.375,10.325,12.785,7.19
"13","Wild grape","Vitis vinifera",1.46,14.54,4.08,18.62,5.65,NA,47,45.99,5.65,43.88,1.94,"LOPEX",1993,"Vit-vin_Leaf03","LOPEX_Vit-vin_Leaf03_1993",117,23.7061855670103,11.375,10.325,12.785,7.19
"14","Wild grape","Vitis vinifera",1.61,14.54,4.08,18.62,5.65,NA,54,45.99,5.65,43.88,1.94,"LOPEX",1993,"Vit-vin_Leaf03","LOPEX_Vit-vin_Leaf03_1993",117,23.7061855670103,11.375,10.325,12.785,7.19
"15","Wild grape","Vitis vinifera",1.46,14.54,4.08,18.62,5.65,NA,47,45.99,5.65,43.88,1.94,"LOPEX",1993,"Vit-vin_Leaf03","LOPEX_Vit-vin_Leaf03_1993",123,23.7061855670103,11.375,10.325,12.785,7.19
"16","European ash","Fraxinus excelsior",1.65,53.57,16.82,70.39,13.36,NA,63,45.96,5.95,38.99,3.24,"LOPEX",1993,"Fra-exc_Leaf04","LOPEX_Fra-exc_Leaf04_1993",112,14.1851851851852,20.525,12.945,16.025,2.12
"17","European ash","Fraxinus excelsior",1.64,53.57,16.82,70.39,13.36,NA,58,45.96,5.95,38.99,3.24,"LOPEX",1993,"Fra-exc_Leaf04","LOPEX_Fra-exc_Leaf04_1993",110,14.1851851851852,20.525,12.945,16.025,2.12
"18","European ash","Fraxinus excelsior",1.65,53.57,16.82,70.39,13.36,NA,48,45.96,5.95,38.99,3.24,"LOPEX",1993,"Fra-exc_Leaf04","LOPEX_Fra-exc_Leaf04_1993",99,14.1851851851852,20.525,12.945,16.025,2.12
"19","European ash","Fraxinus excelsior",1.71,53.57,16.82,70.39,13.36,NA,68,45.96,5.95,38.99,3.24,"LOPEX",1993,"Fra-exc_Leaf04","LOPEX_Fra-exc_Leaf04_1993",116,14.1851851851852,20.525,12.945,16.025,2.12
"20","European ash","Fraxinus excelsior",1.61,53.57,16.82,70.39,13.36,NA,72,45.96,5.95,38.99,3.24,"LOPEX",1993,"Fra-exc_Leaf04","LOPEX_Fra-exc_Leaf04_1993",129,14.1851851851852,20.525,12.945,16.025,2.12
"21","Garden lettuce","Lactuca sativa",1.9,20.23,7.01,27.23,6.16,NA,20,NA,NA,NA,NA,"LOPEX",1993,"Lac-sat_Leaf05","LOPEX_Lac-sat_Leaf05_1993",252,NA,35.55,14.61,2.765,2.495
"22","Garden lettuce","Lactuca sativa",1.821096689,20.23,7.01,27.23,6.16,NA,19,NA,NA,NA,NA,"LOPEX",1993,"Lac-sat_Leaf05","LOPEX_Lac-sat_Leaf05_1993",240,NA,35.55,14.61,2.765,2.495
"23","Garden lettuce","Lactuca sativa",2.07,20.23,7.01,27.23,6.16,NA,17,NA,NA,NA,NA,"LOPEX",1993,"Lac-sat_Leaf05","LOPEX_Lac-sat_Leaf05_1993",215,NA,35.55,14.61,2.765,2.495
"24","Garden lettuce","Lactuca sativa",2.04,20.23,7.01,27.23,6.16,NA,20,NA,NA,NA,NA,"LOPEX",1993,"Lac-sat_Leaf05","LOPEX_Lac-sat_Leaf05_1993",236,NA,35.55,14.61,2.765,2.495
